//ID	Name	RGB color	Background sound effect ID	Background color RGB value: ", "number seperation	Background lighting RGB value: ", "number seperation	Background lighting angle: "x, y, z"	Is it city
25	Остров Весны	80,99,145	13	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
26	Таинственная пещера	50,216,246	9	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
27	Остров Лета	168,233,249	14	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
28	Древний дождевой лес	128,114,64	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
29	Остров Осени	141,110,121	7	170,106,74	250,242,210	-1.0,-1.0,-1.0	0
31	Остров Стужи	114,54,146	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
30	Леса Дэла	236,161,43	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
32	Остров Зефира	103,182,118	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
33	Остров Древесины	53,42,234	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
34	Остров Арены	221,243,5	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
35	Остров Отверженных	49,78,9	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
36	Ледниковый остров	240,207,11	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
37	Остров Купидона	53,201,176	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
38	Остов Канареек	185,149,202	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
39	Заброшенная шахта 1	150,219,2	9	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
40	Заброшенная шахта 2	18,252,192	9	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
41	Серебряная шахта 1	16,30,236	9	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
42	Серебряная шахта 2	21,170,32	9	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
43	Серебряная шахта 3	195,19,206	8	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
44	Одинокая башня 1	67,65,130	10	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
45	Одинокая башня 2	111,49,196	10	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
46	Одинокая башня 3	115,252,101	10	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
47	Одинокая башня 4	157,117,157	10	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
48	Одинокая башня 5	47,213,183	10	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
49	Одинокая башня 6	155,239,79	8	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
50	Священный лабиринт	68,251,228	9	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
51	Остров Руин	47,211,221	9	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
52	Пустая пещера	25,93,98	9	198,152,68	253,247,229	-1.0,-1.0,-1.0	0
53	Андийский лес	135,206,147	12	120,120,120	255,255,255	-1.0,-1.0,-1.0	0
54	Халдейский оплот	125,70,239	12	86,129,130	255,255,255	-1.0,-1.0,-1.0	0
55	Заброшенные шахты	84,137,128	12	114,148,155	255,255,255	-1.0,-1.0,-1.0	0
56	Пустоши Ледыни	108,55,216	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
57	Оазис	32,125,91	12	145,150,104	255,255,255	-1.0,-1.0,-1.0	0
58	Скалистый удел	236,194,55	12	114,148,155	255,255,255	-1.0,-1.0,-1.0	0
59	Бухта Атланти	6,51,63	12	110,171,199	255,255,255	-1.0,-1.0,-1.0	0
60	Берег Скелетов	249,33,4	12	110,171,199	255,255,255	-1.0,-1.0,-1.0	0
61	Валага	121,144,53	12	120,120,120	255,255,255	-1.0,-1.0,-1.0	0
62	Роща Акаций	214,153,143	12	145,150,104	255,255,255	-1.0,-1.0,-1.0	0
63	Обитель радости	15,218,22	12	120,120,120	255,255,255	-1.0,-1.0,-1.0	0
64	Ледяной Шип	212,158,103	12	110,171,199	255,255,255	-1.0,-1.0,-1.0	0
65	Хаотичный оазис	168,43,212	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
66	Божественный оазис	126,30,242	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
67	Лагерь песчаных бандитов	118,79,29	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
68	Бандитский лагерь	221,65,111	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
69	Логово демонов	200,149,199	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
70	Остров Фортуны	191,103,213	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
71	Бухта Сара	104,43,234	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
72	Албанская бухта	224,199,62	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
73	Остров Хафта	135,85,33	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
74	Бухта Рейгана	63,178,57	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
75	Гавань Норитового острова	244,68,53	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
76	Бухта Айрис	210,198,243	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
77	Бухта Лаху	180,161,8	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
78	Бухта Пирикс	236,209,143	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
79	Пальмовый берег	214,127,72	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
80	Гавань Гелады	162,178,52	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
81	Бухта Хаббл	173,209,85	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
82	Бухта Эфио	77,53,71	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
83	Бухта Салва	180,193,31	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
84	Бухта Карман	36,137,84	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
85	Бухта Мюс	47,165,183	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
86	Сад Эдель	206,97,41	8	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
87	Дс 1	5,128,34	8	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
88	Фс 1	252,129,141	8	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
89	Дс 2	206,123,122	8	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
90	Дс 3	36,76,89	8	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
91	Фс 2	242,171,97	8	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
92	Фс 3	164,230,2	8	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
93	Дв 1	50,215,93	8	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
94	Дв 2	94,11,153	8	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
95	Арена	141,99,210	8	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
96	Подводный морской туннель	103,157,130	8	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
97	Логово черного дракона 1	212,85,58	8	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
98	Логово черного дракона 2	61,57,42	8	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
99	Логово черного дракона 3	142,77,89	8	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
100	Подводный тоннель	114,221,104	9	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
101	Остров Скелетов	86,219,73	9	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
102	База Флота	132,5,100	3	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
103	Залив Сокровищ	119,229,46	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
104	Подземный док	77,55,210	9	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
105	Поиск убежища	43,183,74	9	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
106	Доспехи	183,214,241	9	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
107	Абаддон 1	112,34,109	9	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
108	Абаддон 2	97,231,199	9	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
109	Абаддон 3	193,245,237	9	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
110	Абаддон 4	16,236,40	9	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
111	Небеса	8,217,215	2	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
112	Серебряный Хаос	234,9,226	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
113	Абаддон 5	206,16,176	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
114	Абаддон 6	23,233,130	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
115	Абаддон 7	75,163,147	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
116	Абаддон 8	98,47,35	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
117	Абаддон 9	233,216,16	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
118	Абаддон 10	178,186,187	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
119	Абаддон 11	226,64,246	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
120	Абаддон 12	77,244,121	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
121	Абаддон 13	180,50,208	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
122	Абаддон 14	11,59,239	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
123	Абаддон 15	27,174,168	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
124	Абаддон 16	134,144,185	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
125	Абаддон 17	155,249,181	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
126	Абаддон 18	153,139,227	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
127	Вечный Абаддон	128,248,172	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
128	Гавань Абаддона	215,108,251	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
129	Мираж Ледыни	2,55,212	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
130	Мираж Громограда	79,134,69	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
131	Мираж Шайтана	9,119,147	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
132	Священная война	14,103,20	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
133	Маленькая священная война	92,247,123	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
134	Церковь	17,178,140	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
135	Мини Снежная Война 	233,118,107	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
136	Грех	153,139,227	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
137	Утопь Греха	128,248,172	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
138	Рождественская Арена C 	19,182,75	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
139	Рождественская Арена D 	13,139,58	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
140	Рождественская Арена E 	137,56,156	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
141	Снежная Война 	148,147,165	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
142	Остров Эвентов 	53,30,26	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
143	Dark House 	77,142,137	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
144	Подземелье Аргента 	176,59,250	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
145	Подземелье Аргента 2	62,200,228	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
146	Подземелье Аргента 3	119,245,100	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
147	ZonaGG	153,139,227	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
148	Unknown Island 97	5,26,77	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
149	Unknown Island 98	145,55,140	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
150	Unknown Island 99	179,145,204	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
151	Unknown Island 100	224,85,56	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
152	Unknown Island 101	19,218,37	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
153	Unknown Island 102	31,26,88	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
154	Unknown Island 103	153,136,239	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
155	Unknown Island 104	253,159,209	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
156	Unknown Island 105	202,250,237	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
157	Unknown Island 106	205,141,85	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
158	Unknown Island 107	167,40,170	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
159	Unknown Island 108	141,137,58	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
160	Unknown Island 109	63,24,9	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
161	Unknown Island 110	232,1,240	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
162	Unknown Island 111	172,252,194	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
163	Unknown Island 112	75,127,19	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
164	Unknown Island 113	53,178,215	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
165	Unknown Island 114	17,172,123	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
166	Unknown Island 115	116,167,1	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
167	Unknown Island 116	250,140,244	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
168	Unknown Island 117	100,82,211	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
169	Unknown Island 118	185,181,196	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
170	Unknown Island 119	171,36,47	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
171	Unknown Island 120	243,100,210	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
172	Unknown Island 121	134,98,88	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
173	Unknown Island 122	95,196,47	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
174	Unknown Island 123	59,45,118	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
175	Unknown Island 124	88,238,205	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
176	Unknown Island 125	2,2,180	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
177	Luna Haven	48,64,8	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
178	Winter Moon Island	10,232,29	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
179	Snow Cara Isle	102,8,203	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
180	Snow Ville Isle	97,166,155	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
181	Icy Lake Island	180,243,243	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
182	Ice-covered Island	99,25,165	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
183	1st Aurora Area	1,144,85	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
184	2nd Aurora Area	226,207,25	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
185	1st Dark Area	208,205,156	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
186	2nd Dark Area	11,96,177	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
187	Unknown Island 136	111,97,12	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
188	Unknown Island 137	66,154,36	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
189	Unknown Island 138	146,17,37	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
190	Unknown Island 139	167,222,81	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
191	Unknown Island 140	110,71,198	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
192	Unknown Island 141	159,4,230	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
193	Unknown Island 142	184,7,111	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
194	Unknown Island 143	20,68,132	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
195	Unknown Island 144	14,154,24	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
196	Unknown Island 145	142,37,89	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
197	Unknown Island 146	92,158,57	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
198	Unknown Island 147	188,146,160	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
199	Unknown Island 148	122,153,85	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
200	Unknown Island 149	188,183,212	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
201	Unknown Island 150	39,136,46	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
202	Unknown Island 151	30,39,230	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
203	Unknown Island 152	161,20,96	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
204	Unknown Island 153	59,160,163	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
205	Unknown Island 154	135,58,94	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
206	Unknown Island 155	6,208,239	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
207	Unknown Island 156	107,14,201	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
208	Unknown Island 157	208,231,205	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
209	Unknown Island 158	77,93,71	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
210	Unknown Island 159	45,133,66	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
211	Unknown Island 160	220,120,137	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
212	Unknown Island 161	242,71,22	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
213	Unknown Island 162	24,38,222	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
214	Unknown Island 163	83,246,178	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
215	Unknown Island 164	95,133,110	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
216	Unknown Island 165	182,68,100	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
217	Unknown Island 166	252,142,62	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
218	Unknown Island 167	95,164,116	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
219	Unknown Island 168	150,223,125	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
220	Unknown Island 169	220,117,39	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
221	Unknown Island 170	235,100,228	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
222	Unknown Island 171	189,36,220	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
223	Unknown Island 172	114,38,80	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
224	Unknown Island 173	89,227,210	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
225	Unknown Island 174	19,196,198	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
226	Unknown Island 175	4,60,208	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
227	Unknown Island 176	222,132,209	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
228	Unknown Island 177	231,61,7	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
229	Unknown Island 178	92,216,119	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
230	Unknown Island 179	130,18,104	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
231	Unknown Island 180	201,212,70	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
232	Unknown Island 181	13,53,22	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
233	Unknown Island 182	69,246,187	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
234	Unknown Island 183	204,120,163	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
235	Unknown Island 184	232,4,130	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
236	Unknown Island 185	171,198,235	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
237	Unknown Island 186	167,132,219	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
238	Unknown Island 187	248,56,223	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
239	Unknown Island 188	96,68,85	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
240	Unknown Island 189	241,204,135	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
241	Unknown Island 190	179,42,224	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
242	Unknown Island 191	3,196,74	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
243	Unknown Island 192	198,52,240	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
244	Unknown Island 193	215,130,9	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
245	Unknown Island 194	48,202,188	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
246	Unknown Island 195	27,69,133	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
247	Unknown Island 196	166,14,218	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
248	Unknown Island 197	110,125,152	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
249	Unknown Island 198	206,63,239	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
250	Unknown Island 199	217,104,215	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
251	Unknown Island 200	239,134,60	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
252	Unknown Island 201	180,40,8	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
253	Unknown Island 202	13,75,166	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
254	Unknown Island 203	18,222,247	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
255	Интерфейс подключения	122,97,10	-1	114,148,155	255,255,255	-1.0,-1.0,-1.0	0
